tier,overwrite_type,name,description_identification_features
Crucial,yes,Share Code Check Result,"The Home Office 'View a right to work' / 'View immigration status' RESULT PAGE produced after an employer enters a share code online. Identify it by its CONTENT, not by any stamp or signature. Tell-tale signs: the worker's name and photo, wording such as 'They have permission to work in the UK until <date>', a 'Details of check' box with a Company name, Date of check and Reference number, conditions/permitted-work bullet points, or the right-to-work.service.gov.uk / gov.uk view-right-to-work layout. THIS IS THE SAME THING AS AN EMPLOYER'S RIGHT-TO-WORK CHECK RESULT - there is no separate 'Proof of Right to Work' category; any right-to-work check result / verification record is 'Share Code Check Result'. It is NOT the share code itself (that is 'Share Code Document'), NOT a BRP card, and NOT any unrelated stamped/signed certificate."
Crucial,yes,Share Code Document,"A document that simply SHOWS or COMMUNICATES the share CODE itself - typically a screenshot of the right-to-work.service.gov.uk 'Details to give your employer' page displaying a 9-character share code (format like 'WCK 3NN 68S'), or an email/letter quoting the code. The key feature is the prominent share CODE. It is NOT the employer's result page (that is 'Share Code Check Result')."
Crucial,yes,Visa Vignette,"A visa STICKER (vignette) placed inside a passport - including a UK ENTRY CLEARANCE vignette (headed 'UK ENTRY CLEARANCE', showing place of issue, number of entries, visa type/category such as 'D - SKILLED WORKER MIGRANT', name, passport number, validity dates, an immigration-officer stamp, and a machine-readable zone that begins with 'V' - a passport bio page's MRZ begins 'P<'). It is the VISA STICKER, NOT the passport identity page itself ('Passport'). A passport page (or a photocopy of one) whose DOMINANT feature is the entry-clearance visa sticker is 'Visa Vignette' EVEN THOUGH a passport number and a photo also appear on it - the visa sticker wins over the fact that it sits in a passport."
Important,no,Adult First Certificate,"A formal DBS 'Adult First' RESULT/CLEARANCE - short official wording confirming an Adult First check (used while the full DBS is pending), with applicant name and a reference number. It is a formal result, NOT internal notes. If the document is free-text notes or a memo about a DBS check rather than a formal Adult First result, it is 'DBS Check Notes', not this."
Important,no,Arc Card,"ARC logo, applicant registration card, photo, asylum seeker details"
Important,no,Availability,"Weekly schedule, days/times available, availability form"
Important,no,Bank Statement,"A bank's own account STATEMENT - bank logo/letterhead (e.g. Halifax, Lloyds, Monzo), the account holder's name, account number and sort code, a statement period, and a table of transactions with running balances. Use this controlled type rather than an 'Other - bank account statement' label, and rather than 'Proof of Address' even though a statement also shows an address. It is NOT a bank LETTER about the account (opening confirmation, online-banking notice) - that has no transaction table and is an Other document."
Important,no,Birth Certificate,"Birth registration details, registrar, date/place of birth"
Important,no,CV,"A curriculum vitae / résumé - the worker's own summary of their employment history, job timeline, qualifications, education, skills and contact details, often with references. ANY document that is a CV or résumé is this type, regardless of layout or how it is titled ('CV', 'Curriculum Vitae', 'Resume', or just a name with a work history). Always classify a CV as 'CV' - never as 'Other - Curriculum Vitae' or any other Other label."
Important,no,Certificate of Driving Competency,"Driving competency/pass certificate, candidate number"
Important,no,Driving Licence Summary,"The DVLA ONLINE licence-summary / 'share your driving licence' printout - NOT the physical card. Headed 'Driver & Vehicle Licensing Agency' / 'Licence summary', it is a (usually multi-page) gov.uk printout showing 'Driving status', 'Endorsements'/penalty points, a check code, the driver number, licence valid-from/valid-to dates, and 'Can drive' / 'Provisionally drive' category tables. A gov.uk licence printout with a CHECK CODE and category tables is the Summary, NOT 'UK Driving Licence' (the physical photocard)."
Important,no,Driving Permit,"An INTERNATIONAL DRIVING PERMIT (IDP) - the booklet or card headed 'INTERNATIONAL DRIVING PERMIT' (often also in French, 'Permis de conduire international'), issued under the United Nations / Geneva or Vienna road traffic conventions by a national motoring authority or automobile association as an official TRANSLATION of the holder's national licence, listing the vehicle categories the holder may drive and the countries it is valid in. Also any other official permit to drive that is not a licence card. It is NOT a national driving licence: the overseas licence itself is 'Non UK Driving Licence' and the DVLA photocard is 'UK Driving Licence'."
Important,no,Driving Practical Test Certificate,DVSA practical test pass certificate
Important,no,Driving Theory Test Certificate,DVSA theory test pass certificate
Important,yes,ECS Notice,"A Home Office EMPLOYER CHECKING SERVICE (ECS) notice/letter - e.g. a 'Positive Verification Notice' - with a Home Office reference, addressed to the employer, stating whether the person has a right to work. It is a LETTER from the ECS, NOT the online share-code result page (that is 'Share Code Check Result') and NOT the person's own eVisa page ('eVisa Screenshot')."
Important,no,Emergency Contact Details,"An emergency-contact / next-of-kin form - names of emergency contacts, their relationship to the worker, addresses and phone numbers (often headed 'Emergency Details' / 'Emergency Contact' and marked 'Strictly Confidential'). Its SUBJECT is who to contact in an emergency. It is NOT a 'Use of Own Car Declaration' or any vehicle document."
Important,no,Employee Handbook,"The STAFF/CAREGIVER HANDBOOK booklet itself - the employer's general policies-and-procedures handbook (many sections, typically many pages). It is NOT a narrower document with its own subject, even one extracted from the handbook pack - use the specific type instead: a signed handbook receipt/acceptance page is 'Employee Handbook Receipt'; a GDPR/data-protection privacy notice is 'Employee GDPR Privacy Notice'; a confidentiality undertaking is 'Employee Confidentiality Agreement'; a code-of-conduct or caregiver-promise acknowledgement is 'Code of Conduct Acknowledgement'."
Important,no,Employment Application Form,"A job APPLICATION FORM with multiple sections - personal details, application questions, declarations, and often an employment-history part. Use this for the full multi-section application pack. If the visible content is ONLY the employment-history grid (From/To, employer, job title, salary, reason for leaving), classify it as 'Employment History' instead."
Important,no,Employment History,"An EMPLOYMENT HISTORY form/grid - a table headed 'Employment history' with columns like From/To (month & year), name and address of employer, job title, salary and reason for leaving, usually handwritten by the worker and signed/dated. Often a section scanned out of an application pack. ALSO includes an 'EDUCATION & EMPLOYMENT CHRONOLOGY' form (the CQC full education-and-employment-history grid: school/employer rows, dates, job title or subject, reasons for leaving, gap explanations). It is NOT a 'CV' (a CV is the worker's own typed summary document) and NOT the full multi-section 'Employment Application Form'. CHECK EVERY PAGE BEFORE CHOOSING THIS TYPE: if ANY page of the file carries a 'Position applied for' / post-applied-for header, a personal-details section, application questions, or the signed declarations that close an application pack, the file is the whole 'Employment Application Form' - a history grid inside it is one SECTION of that pack, not the document. Use 'Employment History' only when the history grid is genuinely all there is."
Important,no,Financial Evidence,"Savings, funds, financial support evidence"
Important,no,Health Declaration,"A MEDICAL/HEALTH self-declaration form - health questions about the worker's own medical history, conditions, fitness to work, illnesses, medication or disabilities, ANSWERED by the worker. It is specifically about HEALTH. It is NOT a 'Safeguarding Questionnaire' (a 'Safeguarding Questions' form about safeguarding, whistleblowing, the Mental Capacity Act, etc.), and NOT a RECEIPT/acknowledgement page where the worker merely signs to confirm receiving a pack of policies or documents - even when health documents are among those listed, a signature-for-receipt page is 'Employee Handbook Receipt' or a policy acknowledgement, never a Health Declaration."
Important,no,Hire Request Offer Letter,"Offer of employment, role, salary, start date"
Important,no,ID,"A general identification document ONLY when no specific ID type fits. Use the specific type whenever one matches: a passport page is 'Passport', a residence-permit card is 'BRP', a driving licence is 'UK Driving Licence'/'Non UK Driving Licence', a staff badge is 'ID Badge', an ARC card is 'Arc Card'. Only a national identity card or other ID with no dedicated category is 'ID'."
Important,no,ID Badge,"A PHOTOGRAPH of a physical staff photo-ID / lanyard card - a plastic badge showing the worker's photo, name, job title, employer branding/logo (e.g. a Bluebird Care card) and often a region or office. It is a picture of a physical badge, NOT a form or declaration. It is NOT a 'Use of Own Car Declaration' or any other form - it has no questions or signatures, it is an ID card. It is also NOT a gov.uk / Home Office 'View a right to work' / 'View a job applicant's right to work' / 'Prove your right to work' page - a FULL PAGE carrying the worker's photo together with 'They have permission to work in the UK until <date>' and a 'Details of check' box (Company name, Date of check, Reference number) is 'Share Code Check Result', even when the page is scanned ROTATED and even when the incoming filename says 'ID Badge'. The badge is a small plastic CARD photographed on a desk or lanyard; the right-to-work result is a printed web page."
Important,no,Intranet Access Declaration,"An IT / intranet / system-access acknowledgement form (e.g. a 'NEST Access (Intranet) Declaration') - it asks whether the employee has received/read/understood the intranet or a computer system, records any questions or comments, and has employee + line-manager sign-off. Its SUBJECT is IT/system access. Despite the word 'Declaration', it is NOT a 'Use of Own Car Declaration' or any vehicle document."
Important,no,Interview Notes,"Interview assessment, candidate responses, interviewer comments"
Important,no,Job Advert,"A SINGLE vacancy advertisement / recruitment posting - the advert for a role (title, duties, pay, how to apply). It is NOT an employer job-board DASHBOARD screenshot listing multiple postings with applicant counts / sponsored flags (e.g. an Indeed employer view) - that is an Other document, and it is NOT any DBS document even when kept near DBS paperwork."
Important,no,Marriage Name Change Certificate,Marriage certificate showing surname change
Important,no,Medical Conditions,"A record or list of the worker's DECLARED MEDICAL CONDITIONS (conditions, allergies, medication) - an information record rather than a signed questionnaire. If it is the signed health self-declaration FORM with health questions and a declaration signature, it is 'Health Declaration' instead."
Important,no,NMC Registration,"NMC registration confirmation, PIN number"
Important,yes,National Insurance Number,"Any document showing a National Insurance number (format: two letters, six digits, one letter, e.g. 'QQ 12 34 56 C'). INCLUDES a National Insurance CARD (front OR back) - the back of an NI card often shows the words 'NI NUMBER' or 'National Insurance Number' in small print with the number. Also includes HMRC/DWP letters quoting the NI number. If you see 'NI NUMBER' / 'National Insurance' text or the NINO format anywhere, this is the answer - it is NOT a 'Passport'."
Important,no,No Reference Risk Assessment,Risk assessment due to missing references
Important,yes,Non UK Driving Licence,"A FOREIGN (non-UK) driving licence card - issued by any overseas authority (e.g. a New South Wales (Australia) driver licence, an EU licence, a Sri Lankan/Indian/Nigerian licence), in any language. A photo card with the holder's photo, licence number, licence class/vehicle categories, issue/expiry dates and conditions, headed 'Driver Licence' or 'Driving Licence' with a non-UK issuer. Either side counts. It is NOT a 'BRP' (that says 'RESIDENCE PERMIT'), NOT the UK DVLA photocard ('UK Driving Licence'), NOT the DVLA online 'Driving Licence Summary', NOT a passport, and NOT 'ID' - use this specific type for any foreign driving licence. Two documents are excluded: a card carrying a UK flag panel ('UK'/'GB'/Union Jack) or 'DVLA' is 'UK Driving Licence'; a document headed 'INTERNATIONAL DRIVING PERMIT' is 'Driving Permit'."
Important,no,PPE Declaration,PPE acknowledgement/declaration form
Important,no,Passport,"The photo/identity page of a PASSPORT booklet: a large face photo, passport number (format like a single letter + 8 digits or 9 digits), nationality, place of birth, date of birth, and a machine-readable zone (TWO lines of <<< chevrons at the very bottom starting 'P<'). The header reads 'PASSPORT'. It must clearly be the identity page of a passport booklet. It is NOT: a UK ENTRY CLEARANCE visa sticker/vignette inside a passport (that is 'Visa Vignette' - headed 'UK ENTRY CLEARANCE' with a visa type and immigration-officer stamp); a POLICE / criminal-record certificate (that is 'Proof of Police Check'); a National Insurance card (that is 'National Insurance Number'); or the BACK of a BRP card (Date/Place of birth, Sex, Nationality, 'NO PUBLIC FUNDS', an NI number and an MRZ on a small CARD - that is 'BRP'). A page with an entry-clearance/visa sticker, a police-check letterhead, or a credit-card-sized permit is NEVER 'Passport' even if a passport number or an MRZ appears on it. Only the passport BOOKLET identity page (headed 'PASSPORT', with the 'P<' MRZ) is 'Passport'. A small CREDIT-CARD-SIZED PHOTOCARD with NO two-line 'P<' MRZ is NEVER 'Passport', however identity-document it looks and however heavily a red 'CERTIFIED TRUE COPY' stamp obscures it: a card headed 'DRIVING LICENCE' (including 'PROVISIONAL DRIVING LICENCE') with a driver number and an entitlement category table is a driving licence - 'UK Driving Licence' whenever it shows 'DVLA' or a UK/GB flag panel, whatever country the holder's place of birth names; and a card headed 'RESIDENCE PERMIT' with a card number and 'NO PUBLIC FUNDS' is 'BRP'. FINAL CHECK before answering 'Passport': read the FIRST character of the machine-readable zone - 'P<' means passport bio page; 'V' means a visa and the page is 'Visa Vignette'; 'IR' means a residence permit and the page is 'BRP'; and NO MRZ at all on a small card means it is a licence or permit, not a passport."
Important,no,Payslip,"Employer name, pay period, deductions, net pay"
Important,no,Probation Review,"A probation assessment / review, OR end-of-probation feedback notes - printed OR handwritten, from the employee OR the line manager. To be this type the document must carry EXPLICIT probation context: 'probation' / 'probationary period' / 'end of probation' wording (or an explicit probation-review meeting heading). Handwritten probation feedback is STILL a 'Probation Review'. WITHOUT that probation wording, lookalike HR forms are NOT this type: a general staff appraisal / performance-scoring or self-assessment form, an appraisal preparation form, an induction checklist or sign-off, a supervision record ('Supervision'), and a sickness/absence report are each their own document. It is also NOT 'DBS Check Notes' - probation feedback has nothing to do with a DBS check unless the text explicitly discusses a DBS/Disclosure/Barring check."
Important,no,Proof of Address,"A COUNCIL TAX BILL or a UTILITY BILL is 'Proof of Address' - always this controlled type, NEVER an 'Other - council tax bill' / 'Other - energy bill' label. More generally: a bill or official letter evidencing WHERE THE WORKER LIVES - a council tax bill/demand notice from a local authority, a utility bill (gas, electricity, water, broadband - e.g. British Gas, EDF, Octopus, Thames Water), or a similar addressed statement, showing the worker's name and full postal address. If the document is a BANK STATEMENT (bank logo, account and sort code, a transaction table) file it as 'Bank Statement' - that specific type wins over this one."
Important,yes,Proof of Car Insurance,"ANY document FROM AN INSURER evidencing a motor insurance policy: a certificate of motor insurance, policy schedule, COVER SUMMARY, 'statement of insurance' or policy summary pack (e.g. Hastings Direct, Admiral, Aviva) - showing the policyholder, vehicle registration mark, policy number, cover dates and class/type of cover (ideally incl. business use). Multi-page policy documents count: the SUBJECT is the insurance cover. It is NOT the V5C registration certificate/logbook (that is 'Proof of Car Ownership'), NOT the worker's signed own-vehicle form ('Use of Own Car Declaration'), and NOT vehicle tax ('Proof of Vehicle Tax')."
Important,yes,Proof of Car Ownership,"A V5C vehicle registration certificate / logbook or vehicle purchase/ownership document - identified by wording like 'Registration Certificate', 'V5C', 'registered keeper', a vehicle registration mark, and 'DVLA'. It is a document about the VEHICLE and who keeps it. It is NOT a driving licence: a photocard (or the back of one, with a driving-category table 'Cat./From/To/Codes') is 'UK Driving Licence', about the DRIVER's entitlement to drive - never 'Proof of Car Ownership'. The DVLA stamp/print does NOT make it any kind of right-to-work or identity document."
Important,no,Proof of DBS Update Service Consent,"A CONSENT form in which the WORKER gives the employer permission to perform DBS Update Service status checks - consent wording plus the worker's signature. It is the consent, NOT the employer's status-check result ('DBS Check'), NOT the Update Service registration confirmation ('Update Service Registration'), and NOT the certificate ('DBS Document')."
Important,no,Proof of English Proficiency,"An English-language TEST RESULT or certificate - e.g. an IELTS 'Test Report Form' (British Council / IDP / Cambridge Assessment), OET, or similar: candidate details, listening/reading/writing/speaking scores, an overall band score and/or CEFR level, test centre stamp. Many carry a 'UKVI Number' because the test was taken for a visa - the UKVI number does NOT make it a visa document: it is NOT a 'Visa Vignette', NOT a 'Passport', and NOT any immigration document. A language TEST RESULT is always this type."
Important,no,Proof of Police Check,"A POLICE clearance / criminal-record certificate - e.g. an ACRO Police Certificate, a Disclosure, or an overseas police/criminal-record certificate. Identified by police/criminal-record wording, an issuing police or government authority, an applicant name and a certificate/reference number, and a statement about convictions/'no trace'. It often carries an official stamp and signature - this does NOT make it a passport or a right-to-work document. It is NOT 'Passport' even though it may show a passport number and personal details."
Important,no,Proof of Tuberculosis Test,"A TUBERCULOSIS (TB) screening / medical certificate from an approved clinic - often headed 'UK Pre-Departure Tuberculosis Detection Programme Medical Certificate' with an IOM (International Organization for Migration) or 'UK Visas & Immigration' header. Shows the applicant, a TB/chest-x-ray result ('No evidence of active pulmonary TB'), clinic details, and usually a doctor's stamp and signature. Despite the UKVI header and a passport-number field (it travels inside visa packs and passports), it is a MEDICAL certificate: NEVER 'Passport', NEVER 'Visa Vignette', and never any right-to-work document."
Important,no,Proof of Vaccination,Vaccination record/card/certificate
Important,yes,Proof of Vehicle Tax,"Vehicle tax confirmation, DVLA tax status - the page must state the vehicle's TAX position ('Vehicle status: Taxed', a tax due date). A page that shows no tax status is not this type."
Important,no,Proof of Visa Application,"Application submission receipt, payment confirmation"
Important,no,Reference,"A COMPLETED employment/character reference ABOUT the worker - the reference CONTENT must actually be present: a reference letter, a FILLED-IN reference check form (e.g. a 'REFERENCE CHECK FORM' with the referee's name/company and the questions answered, signed and dated), or an email whose body contains the referee's actual answers about the worker. A filled-in reference form is ALWAYS 'Reference' - never a 'template'. It is NOT: correspondence requesting/chasing/forwarding a reference ('Reference Request Email'); NOT a blank, unfilled reference form (Other - blank reference form template); and NOT 'Reference Consent' (the worker's permission form). A LETTER ON A FORMER EMPLOYER'S LETTERHEAD - an 'experience certificate', 'service certificate' or 'to whom it may concern' letter - IS a 'Reference', not a 'Training Certificate' and not an Other label, BUT ONLY IF IT ASSESSES THE PERSON: it must give an opinion on their conduct, character, performance or suitability, or recommend them ('we found her hard-working and reliable', 'I have no hesitation in recommending her'). A letter that merely CONFIRMS THE FACTS of employment - job title, dates, salary, 'this is to confirm that X was employed here from ... to ...' - with no view on the person is NOT a reference; file it 'Other - employment verification letter'. A title reading 'Reference Request' does not make a FILLED-IN form a request: judge by whether the referee's answers are on the page."
Important,no,Reference Consent,"A short form in which the WORKER GIVES PERMISSION for the employer/agency to obtain a reference from a previous employer or college - e.g. wording like 'I <name> give permission to <company> to apply for and receive a reference from my previous employer/college', with a signature and date. It is a CONSENT form. The signature and date do NOT make it a right-to-work document, a reference, or a contract. It is NOT 'Share Code Check Result' and NOT 'Reference' (the reference itself)."
Important,no,Reference File,Bundle containing references/supporting reference documents
Important,no,Reference Manual Completion Evidence,Evidence reference checks completed manually
Important,no,Receipt of Uniform and Deposit Declaration,"A form acknowledging UNIFORM items issued to the worker - listing garments (e.g. tunic, fleece, jacket, polo), their sizes and quantities, and any DEPOSIT amount taken, with employee + employer signatures. Its SUBJECT is uniform/clothing and a deposit. Despite the word 'Declaration', it is NOT a 'Use of Own Car Declaration' or any vehicle document."
Important,no,Risk Assessment,"Risk matrix, hazards, controls, assessment outcome"
Important,no,Safeguarding Questionnaire,"A safeguarding competency / training questionnaire - typically headed 'Safeguarding Questions', with the worker's name and date and (often handwritten) answers to questions about safeguarding, whistleblowing, the Mental Capacity Act, types/signs of abuse, and reporting procedures. It tests safeguarding knowledge. It is NOT a 'Health Declaration' (which is about the worker's own medical health) and NOT a policy document - it is a completed questionnaire/form. MATCH ONLY A FORM THAT ACTUALLY ASKS SAFEGUARDING-KNOWLEDGE QUESTIONS: this type is not a bin for any signed Watra/employer 'PERSONAL INFORMATION' or 'Declaration' sheet. It is NOT a criminal-record self-declaration (a 'Criminal Record Check Declaration' citing the Rehabilitation of Offenders Act and asking the worker to declare convictions/cautions - that is 'Other - Criminal Record Check Declaration'), NOT a 'Staff Handbook Declaration' / handbook receipt ('Employee Handbook Receipt'), and NOT a Home Office right-to-work result page ('Share Code Check Result')."
Important,no,Spot Check,"Spot check form, observations, compliance review"
Important,no,Supervision,"Supervision meeting notes, actions, signatures"
Important,no,Tenancy Agreement Signature Evidence,Signed tenancy agreement/signature page
Important,no,Term Time Evidence,"Evidence of a worker's STUDENT STATUS and term dates - typically a letter or portal printout from a university or college (e.g. Coventry University, Birmingham City University) confirming the student is enrolled on a named course, with the course dates / term and vacation dates that govern how many hours they may work. It is a letter ABOUT studying, never an 'Employment Contract'."
Important,no,Training Certificate,"ANY course/training completion certificate from any provider - e-learning, workshop, first aid, mandatory training, moving & handling, medication - INCLUDING the CARE CERTIFICATE ('This is to certify that <name> is awarded the Care Certificate based on the standards set by Health Education England / Skills for Care'). Certificates are often scanned rotated or photographed as screenshots - still this type. Never file a completion certificate under an Other label. IT MUST BE A COMPLETION CERTIFICATE - a document that CERTIFIES/AWARDS that a named person completed a named course, with the provider, the course and a completion date. It is NOT a 'TRAINING REPAYMENT AGREEMENT' (a signed contract in which the worker agrees to repay training costs if they leave, with repayment percentages, employee AND employer signatures - that is 'Other - Training Repayment Agreement'), and NOT an employer 'experience certificate' / character letter about a person's job and conduct (that is 'Reference'). A signed agreement about training is a contract, not a certificate."
Important,yes,UK Driving Licence,"The PHYSICAL UK photocard DRIVING LICENCE (DVLA-issued, pink/green plastic CARD). BOTH sides are 'UK Driving Licence': - FRONT: the holder's PHOTO, name, date and place of birth, a driver number, issue and expiry dates, signature, and a UK flag panel (a Union Jack, or a blue panel with the letters 'UK' or 'GB'). READ FIELD 4c - THE ISSUING AUTHORITY. On the numbered photocard, 4c names the issuer: '4c. DVLA' means this type, full stop. Field 3 is the holder's DATE AND PLACE OF BIRTH - a line like '3. 04.12.1998 PAKISTAN' says where the person was BORN, not who issued the card, and never makes the licence foreign. A card headed 'PROVISIONAL DRIVING LICENCE' with a Union Jack and 4c. DVLA is a UK provisional licence and IS this type. - BACK (no photo): the entitlement CATEGORY TABLE - columns headed 'Cat.', 'From', 'To', 'Codes' with category letters (B, B1, BE...) and small vehicle pictograms, plus a licence number. A scan/photocopy of the category-table side alone is STILL 'UK Driving Licence'. It is the CARD itself. It is NOT the DVLA online 'Licence summary' / share-code printout (a gov.uk document with 'Driving status', a check code and 'Can drive' category tables - that is 'Driving Licence Summary'), NOT a V5C logbook ('Proof of Car Ownership' - that is about the VEHICLE, not the driver), NOT a passport, NOT a BRP, and NOT a national ID card. If it is a printed gov.uk page with a check code rather than a photocard, it is the Summary, not this."
Important,yes,UKVI Draft Application,Draft visa application form before submission
